id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review_clean,reviews_per_month_clean,calculated_host_listings_count,availability_365,price_category,stay_category,availability_category,review_activity_category,host_scale_category,review_recency,days_since_last_review,estimated_annual_revenue,review_efficiency,host_business_scale,performance_tier,market_position,estimated_occupancy_rate
32699981,"HuGe, Bright Room.",144224025,Khaled,Brooklyn,Bushwick,"40,69762","-73,91999",Private room,45,1,14,13/06/2019,"3,23",1,189,Budget (≤$50),Short Stay (1 night),High Availability (>180 days),High Activity (>3/month),Single Property,Sangat Lama (>1 tahun),2244,8505,"0,0741",Single Property Host,High Performer,Budget Popular,"72,6"
20155633,The Emerald of Queens/30 mins from NYC!,126504342,Otto,Queens,Flushing,"40,76271","-73,79595",Private room,50,2,74,26/06/2019,"3,19",1,246,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),High Activity (>3/month),Single Property,Sangat Lama (>1 tahun),2231,12300,"0,3008",Single Property Host,High Performer,Budget Popular,"45,2"
25587778,Cozy Bedroom Full of Sunshine,46979077,Maya,Queens,Woodside,"40,74286","-73,89163",Private room,50,1,57,23/06/2019,"4,37",2,295,Budget (≤$50),Short Stay (1 night),High Availability (>180 days),High Activity (>3/month),Small Scale (2-5),Sangat Lama (>1 tahun),2234,14750,"0,1932",Small Scale Host (2-5),High Performer,Budget Popular,"45,2"
28391512,ELEXEY'S COMFORT.. room is located on the 3rd fl.,185889529,Michelle,Queens,St. Albans,"40,69898","-73,75518",Private room,50,1,51,29/06/2019,"5,1",3,358,Budget (≤$50),Short Stay (1 night),High Availability (>180 days),High Activity (>3/month),Small Scale (2-5),Sangat Lama (>1 tahun),2228,17900,"0,1425",Small Scale Host (2-5),High Performer,Budget Popular,"17,8"
20705026,New Clean Private Room In Flushing,137129564,Bing,Queens,Flushing,"40,75224","-73,81505",Private room,49,1,77,29/05/2019,"3,43",4,362,Budget (≤$50),Short Stay (1 night),High Availability (>180 days),High Activity (>3/month),Small Scale (2-5),Sangat Lama (>1 tahun),2259,17738,"0,2127",Small Scale Host (2-5),High Performer,Budget Popular,"17,8"
31123611,JFK Airport Great place to stay 6 minutes away,232251881,Lakshmee,Queens,Jamaica,"40,66823","-73,78374",Shared room,40,1,65,06/07/2019,10,8,346,Budget (≤$50),Short Stay (1 night),High Availability (>180 days),High Activity (>3/month),Medium Scale (6-20),Sangat Lama (>1 tahun),2221,13840,"0,1879",Medium Scale Host (6-20),High Performer,Budget Popular,"17,8"
30470126,Spacious and Cozy Room - Just like Home,162166015,Freddy,Queens,Ridgewood,"40,6963","-73,89965",Private room,50,1,3,01/01/2019,"0,45",1,189,Budget (≤$50),Short Stay (1 night),High Availability (>180 days),Low Activity (≤1/month),Single Property,Sangat Lama (>1 tahun),2407,9450,"0,0159",Single Property Host,Average Performer,Budget Struggling,"72,6"
18440017,Uptown Private Bedroom w/ Pvt Entrance & Full Bath,75973505,Jeanette,Manhattan,Washington Heights,"40,86027","-73,9264",Private room,40,2,3,02/01/2019,"0,42",1,276,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),Low Activity (≤1/month),Single Property,Sangat Lama (>1 tahun),2406,11040,"0,0109",Single Property Host,Average Performer,Budget Struggling,"45,2"
726422,Grand Brooklyn Apartment,3759301,Natalia,Brooklyn,Crown Heights,"40,67942","-73,96248",Entire home/apt,50,4,8,29/04/2019,"0,12",1,220,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),Low Activity (≤1/month),Single Property,Sangat Lama (>1 tahun),2289,11000,"0,0364",Single Property Host,Average Performer,Budget Struggling,"45,2"
29827671,Private bedroom in large apartment in East Harlem,26000391,Yvette,Manhattan,East Harlem,"40,7906","-73,94594",Private room,40,7,2,01/01/2019,"0,27",1,188,Budget (≤$50),Weekly Stay (2-7 nights),High Availability (>180 days),Low Activity (≤1/month),Single Property,Sangat Lama (>1 tahun),2407,7520,"0,0106",Single Property Host,Average Performer,Budget Struggling,"72,6"
